	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1	Unnamed: 0.1.1	user	sex	age	user_1grams	user_2grams	user_3grams	avr_mentions	avr_punctuation	avr_text_size	avr_starts_with_capital	avr_ends_with_punctuation	avr_capitals	avr_words_count	vocabulary_richness	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	LS	MD	NN	NNS	NNP	NNPS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	,	.	)	(	:	$	''
0	0	0	0	0	4905cc7a1396110c1a635c4e7b023de2	FEMALE	"50-64




"	0.4259259259259259	0.4814814814814815	0.5462962962962963	0.6851851851851852	2.1481481481481484	74.66666666666667	0.7962962962962963	0.2407407407407408	0	0.06481481481481481	0.0	0.3888888888888889	0.16666666666666666	0.2777777777777778	0.018518518518518517	0.4074074074074074	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.0	1.7592592592592593	0.2222222222222222	2.2777777777777777	0.0	0.0	0.0	0.12962962962962962	0.018518518518518517	0.05555555555555555	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.1111111111111111	0.09259259259259259	0.018518518518518517	0.0	0.05555555555555555	0.1111111111111111	0.0	0.0	0.0	0.0	0.1111111111111111	0.8888888888888888	0.037037037037037035	0.037037037037037035	0.7222222222222222		
1	1	1	1	1	6733b2957179358024cc5c493f28924a	MALE	"50-64




"	1.3	1.4727272727272729	1.5	1.2	2.5636363636363635	88.63636363636364	0.2363636363636364	0.7636363636363637	0	0.17272727272727273	0.0	0.6	0.23636363636363636	1.018181818181818	0.0	0.16363636363636364	1.1454545454545455	0.7636363636363637	0.03636363636363636	0.03636363636363636	0.0	0.03636363636363636	2.4363636363636365	0.43636363636363634	1.490909090909091	0.0	0.0	0.0	0.5454545454545454	0.07272727272727272	0.34545454545454546	0.01818181818181818	0.0	0.0	0.03636363636363636	0.14545454545454545	0.0	0.23636363636363636	0.07272727272727272	0.3090909090909091	0.03636363636363636	0.38181818181818183	0.2	0.0	0.07272727272727272	0.0	0.0	0.34545454545454546	1.1090909090909091	0.09090909090909091	0.03636363636363636	0.7272727272727273		
2	2	2	2	2	9aa58b658935d017e0827d1b42e75596	MALE	"18-24




"	0.753259779338014	1.0030090270812435	1.0341023069207622	0.4944834503510532	3.477432296890672	103.5285857572718	0.6760280842527583	0.563691073219659	0	0.01905717151454363	35.269121813031155	1.3470411233701103	0.27382146439317956	1.3801404212637913	0.041123370110330994	0.003009027081243731	1.6860581745235708	0.9628886659979939	0.034102306920762285	0.03811434302908726	0.0	0.14543630892678033	2.78234704112337	0.5476429287863591	1.6449348044132397	0.009027081243731194	0.025075225677031094	0.0	1.1584754262788366	0.22367101303911735	0.9829488465396189	0.014042126379137413	0.004012036108324975	0.11434302908726178	0.0	0.4292878635907723	0.01805416248746239	0.679037111334002	0.3430290872617854	0.45536609829488467	0.20361083249749248	0.3801404212637914	0.42126379137412234	0.01905717151454363	0.06920762286860582	0.0	0.05717151454363089	0.2748244734202608	1.338014042126379	0.07021063189568706	0.034102306920762285	0.9969909729187563		
3	3	3	3	3	454904ba35745fd0499f229c4b3e851c	FEMALE	"35-49




"	0.6156156156156156	0.8248248248248248	0.8698698698698699	1.207207207207207	4.055055055055055	135.6716716716717	0.8538538538538538	0.6536536536536537	0	0.01701701701701702	24.65373961218837	1.025025025025025	0.35135135135135137	0.9109109109109109	0.011011011011011011	0.002002002002002002	1.8918918918918919	0.8868868868868869	0.08408408408408409	0.031031031031031032	0.0	0.2002002002002002	2.6226226226226226	1.073073073073073	2.047047047047047	0.009009009009009009	0.009009009009009009	0.0	0.958958958958959	0.4004004004004004	0.4914914914914915	0.028028028028028028	0.007007007007007007	0.04904904904904905	0.002002002002002002	0.43243243243243246	0.009009009009009009	0.8498498498498499	0.18018018018018017	0.5055055055055055	0.15215215215215216	0.46046046046046046	0.3333333333333333	0.026026026026026026	0.0940940940940941	0.0	0.09009009009009009	0.3113113113113113	1.7237237237237237	0.03003003003003003	0.013013013013013013	1.2312312312312312	0.02902902902902903	
4	4	4	4	4	4dc094fb37152396199cb951207bb75d	MALE	"35-49




"	0.6957104557640751	0.8136729222520107	0.8203753351206434	0.3029490616621984	1.9383378016085795	82.53619302949062	0.1903485254691689	0.3190348525469169	0	0.006702412868632708	0.0	0.5495978552278821	0.3190348525469169	0.6943699731903485	0.005361930294906166	0.0	1.0563002680965148	0.8793565683646113	0.032171581769437	0.0160857908847185	0.0	0.13136729222520108	2.4369973190348526	0.7426273458445041	0.739946380697051	0.005361930294906166	0.0160857908847185	0.0	0.47989276139410186	0.1742627345844504	0.5388739946380697	0.013404825737265416	0.005361930294906166	0.06166219839142091	0.029490616621983913	0.3780160857908847	0.0160857908847185	0.6032171581769437	0.24932975871313673	0.40214477211796246	0.23056300268096513	0.26541554959785524	0.20911528150134048	0.01876675603217158	0.01876675603217158	0.0	0.05630026809651475	0.12332439678284182	0.4289544235924933	0.12064343163538874	0.06970509383378017	0.9061662198391421	0.013404825737265416	
5	5	5	5	5	2213767ab6ecc93aa98e0d49cfab5baa	FEMALE	"35-49




"	0.445	0.503	0.513	0.6579999999999999	1.28	147.747	0.7959999999999999	0.1	0	0.016	36.47912885662432	0.215	0.31	0.568	0.001	0.0	1.564	0.558	0.013	0.026	0.0	0.01	1.485	0.671	2.612	0.009	0.002	0.0	0.107	0.022	0.085	0.002	0.012	0.036	0.001	0.145	0.003	0.196	0.044	0.183	0.079	0.144	0.084	0.009	0.011	0.0	0.017	0.138	0.196	0.013	0.013	0.559	0.005	
6	6	6	6	6	e390535dd8f6e7b8f56c1f45aa365760	MALE	"35-49




"	0.708	0.865	0.887	0.706	3.434	120.564	0.598	0.602	0	0.021	18.9727463312369	1.156	0.132	0.937	0.017	0.008	1.797	1.094	0.089	0.042	0.0	0.158	2.883	0.911	1.721	0.007	0.002	0.001	0.862	0.262	0.558	0.021	0.004	0.068	0.003	0.505	0.0	0.757	0.191	0.416	0.184	0.44	0.428	0.039	0.076	0.002	0.103	0.36	1.233	0.087	0.031	1.071	0.024	
7	7	7	7	7	c297b3ecf103e67237c8a42659a178e3	FEMALE	"25-34




"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0							
8	8	8	8	8	491750704cf57fa285716407272c5a56	MALE	"25-34




"	0.529	0.617	0.627	0.743	2.815	108.553	0.412	0.455	0	0.01	33.1769722814499	0.731	0.301	0.479	0.006	0.139	0.818	0.739	0.02	0.01	0.0	0.065	3.557	0.26	1.479	0.003	0.005	0.0	0.276	0.065	0.355	0.006	0.004	0.019	0.005	0.14	0.009	0.309	0.142	0.113	0.049	0.198	0.159	0.006	0.019	0.0	0.017	0.264	0.565	0.264	0.136	1.173	0.008	
9	9	9	9	9	1110e5330c38f208b2887f55f7296235	FEMALE	"50-64




"	0.8518518518518519	0.9555555555555556	1.0148148148148148	0.11851851851851852	2.355555555555556	109.4962962962963	0.7555555555555555	0.674074074074074	0	0.07407407407407407	63.01824212271973	0.3037037037037037	0.48148148148148145	0.5777777777777777	0.0	1.1703703703703703	0.6962962962962963	0.9481481481481482	0.022222222222222223	0.0	0.0	0.037037037037037035	3.903703703703704	0.6962962962962963	2.7555555555555555	0.0	0.0	0.0	0.23703703703703705	0.014814814814814815	0.1259259259259259	0.007407407407407408	0.007407407407407408	0.014814814814814815	0.007407407407407408	0.02962962962962963	0.007407407407407408	0.14814814814814814	0.07407407407407407	0.11851851851851852	0.0	0.3925925925925926	0.37037037037037035	0.0	0.007407407407407408	0.0	0.02962962962962963	0.22962962962962963	0.9333333333333333	0.0962962962962963	0.0962962962962963	1.037037037037037	0.007407407407407408	
