	user	sex	age	user_common_1grams	user_common_2grams	user_common_3grams	user_age_18_24_ngrams	user_age_25_34_ngrams	user_age_35_49_ngrams	user_age_50_64_ngrams	user_age_65_xx_ngrams	user_gender_male_ngrams	user_gender_female_ngrams	avr_mentions	avr_punctuation	avr_text_size	avr_starts_with_capital	avr_ends_with_punctuation	avr_capitals	avr_words_count	vocabulary_richness
0	4905cc7a1396110c1a635c4e7b023de2	FEMALE	"50-64
"	0.42592592592592593	0.48148148148148145	0.5462962962962963	1.0462962962962963	1.1388888888888888	1.1296296296296295	1.0925925925925926	0.7962962962962963	1.0648148148148149	1.2222222222222223	0	0	0	0	0	0	0	0
1	6733b2957179358024cc5c493f28924a	MALE	"50-64
"	1.3	1.4727272727272727	1.5	1.8545454545454545	1.9363636363636363	1.9545454545454546	2.0090909090909093	1.4636363636363636	2.0	1.9454545454545455	0	0	0	0	0	0	0	0
2	9aa58b658935d017e0827d1b42e75596	MALE	"18-24
"	0.753259779338014	1.0030090270812437	1.0341023069207622	1.913741223671013	1.688064192577733	1.6680040120361084	1.6058174523570712	1.0050150451354063	1.7151454363089267	1.6659979939819458	0	0	0	0	0	0	0	0
3	454904ba35745fd0499f229c4b3e851c	FEMALE	"35-49
"	0.6156156156156156	0.8248248248248248	0.8698698698698699	1.059059059059059	1.1231231231231231	1.1941941941941943	1.14014014014014	0.7947947947947948	1.1331331331331331	1.2012012012012012	0	0	0	0	0	0	0	0
4	4dc094fb37152396199cb951207bb75d	MALE	"35-49
"	0.6957104557640751	0.8136729222520107	0.8203753351206434	1.1702412868632708	1.2761394101876675	1.3056300268096515	1.2238605898123325	0.8136729222520107	1.3083109919571045	1.2520107238605898	0	0	0	0	0	0	0	0
5	2213767ab6ecc93aa98e0d49cfab5baa	FEMALE	"35-49
"	0.445	0.503	0.513	0.797	0.85	0.89	0.842	0.575	0.854	0.904	0	0	0	0	0	0	0	0
6	e390535dd8f6e7b8f56c1f45aa365760	MALE	"35-49
"	0.708	0.865	0.887	1.373	1.511	1.6	1.505	0.917	1.589	1.519	0	0	0	0	0	0	0	0
7	c297b3ecf103e67237c8a42659a178e3	FEMALE	"25-34
"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0
8	491750704cf57fa285716407272c5a56	MALE	"25-34
"	0.529	0.617	0.627	1.028	1.225	1.138	1.095	0.725	1.195	1.124	0	0	0	0	0	0	0	0
9	1110e5330c38f208b2887f55f7296235	FEMALE	"50-64
"	0.8518518518518519	0.9555555555555556	1.0148148148148148	2.251851851851852	2.4814814814814814	2.5185185185185186	2.3333333333333335	1.5333333333333334	2.437037037037037	2.5555555555555554	0	0	0	0	0	0	0	0
